"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.943734875E0,1.864511108E1,-3.043522263E1,-2.987708855E1
7.965493875E0,1.848020172E1,-3.054443359E1,-2.986808968E1
7.987282875E0,1.806895065E1,-3.050026321E1,-3.016339111E1
8.009041875E0,1.787824249E1,-3.059893990E1,-3.017708588E1
8.030794875E0,1.793924522E1,-3.103863907E1,-2.968786812E1
8.052554875E0,1.803398514E1,-3.140225029E1,-2.924478149E1
8.074319875E0,1.807429504E1,-3.202001953E1,-2.854157066E1
8.096078875E0,1.807246017E1,-3.252042389E1,-2.797126198E1
8.117836875E0,1.788669014E1,-3.283412933E1,-2.772308350E1
8.139597875E0,1.760068893E1,-3.300552750E1,-2.770259857E1
8.161381875E0,1.744646835E1,-3.326485443E1,-2.748915100E1
8.183144875E0,1.746699524E1,-3.353635025E1,-2.714406586E1
8.204903875E0,1.752309608E1,-3.359054565E1,-2.704069901E1
8.226650875E0,1.751679230E1,-3.358486557E1,-2.705184174E1
8.248434042E0,1.750074196E1,-3.376329803E1,-2.683927345E1
8.270193042E0,1.760896111E1,-3.405024338E1,-2.640243340E1
8.291953042E0,1.778725433E1,-3.421308899E1,-2.607031631E1
8.313711042E0,1.787691498E1,-3.424885559E1,-2.596179771E1
8.335490042E0,1.787075806E1,-3.428828430E1,-2.591394997E1
8.357260042E0,1.791092110E1,-3.436820221E1,-2.578000641E1
8.379019042E0,1.783545685E1,-3.468899536E1,-2.539986992E1
8.400778042E0,1.808372498E1,-3.476476288E1,-2.511918068E1
8.422537042E0,1.827625275E1,-3.481198883E1,-2.491359520E1
8.444296042E0,1.835997963E1,-3.485126114E1,-2.479685211E1
8.466055042E0,1.829487991E1,-3.503966522E1,-2.457849884E1
8.487814042E0,1.849520493E1,-3.518311691E1,-2.422103500E1
8.509573042E0,1.862975502E1,-3.527713013E1,-2.397998428E1
8.531340042E0,1.865068245E1,-3.530743790E1,-2.391902733E1
8.553113042E0,1.844454956E1,-3.542697525E1,-2.390211678E1
8.574881042E0,1.848705482E1,-3.544443130E1,-2.384333038E1
8.596640042E0,1.867566681E1,-3.551628876E1,-2.358804893E1
8.618399042E0,1.872576523E1,-3.551171875E1,-2.355518723E1
8.640152042E0,1.861503220E1,-3.559753418E1,-2.351338577E1
8.661917042E0,1.867391205E1,-3.568033981E1,-2.334055710E1
8.683677042E0,1.875380898E1,-3.574806976E1,-2.317225456E1
8.705465042E0,1.880351830E1,-3.584665298E1,-2.297886658E1
8.727203042E0,1.893502808E1,-3.589702988E1,-2.279146957E1
8.748983042E0,1.894997597E1,-3.590610504E1,-2.276473808E1
8.770735042E0,1.890898705E1,-3.593416595E1,-2.275453758E1
