"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.462850417E0,-2.801622581E1,-4.304464722E1,-2.369643021E1
5.484623417E0,-2.567694855E1,-2.685309219E1,-3.336751938E1
5.506399417E0,-2.572831154E1,-2.683306122E1,-3.334405899E1
5.528158417E0,-2.568382645E1,-2.689397049E1,-3.332928085E1
5.549917417E0,-2.553521729E1,-2.703361893E1,-3.333049393E1
5.571676417E0,-2.556658363E1,-2.697969437E1,-3.335013962E1
5.593446417E0,-2.551710320E1,-2.700921059E1,-3.336413956E1
5.615189417E0,-2.551236343E1,-2.696014786E1,-3.340741348E1
5.636953417E0,-2.711513901E1,-1.855454254E1,-3.599006653E1
5.658713417E0,-2.712722397E1,-1.851358414E1,-3.600205994E1
5.680502417E0,-2.714450836E1,-1.845128441E1,-3.602100754E1
5.702230417E0,-2.708333206E1,-1.846417618E1,-3.606042480E1
5.724000417E0,-2.706153679E1,-1.849328613E1,-3.606187439E1
