"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.808197000E0,8.051680028E-2,3.614765406E-2,-1.486603171E-2
3.829987000E0,8.416853845E-2,3.365685791E-2,-1.470685657E-2
3.851746000E0,8.652678877E-2,3.362380341E-2,-1.222886238E-2
3.873489000E0,8.643400669E-2,3.482806683E-2,-1.105260011E-2
3.895265000E0,8.274012804E-2,3.853368387E-2,-1.244534366E-2
3.917024000E0,8.266463131E-2,3.356345370E-2,-9.923153557E-3
3.938782000E0,8.152260631E-2,3.481358290E-2,-1.601014845E-2
3.960550000E0,7.888966054E-2,3.476406634E-2,-1.005560718E-2
3.982300000E0,8.011826873E-2,3.104672208E-2,-1.114180777E-2
4.004054000E0,8.133517951E-2,3.721293807E-2,-1.486341283E-2
4.025818000E0,8.004485071E-2,3.274723887E-2,-1.603875682E-2
4.047577000E0,8.120333403E-2,3.519695252E-2,-1.485616527E-2
4.069336000E0,8.481187373E-2,3.269781917E-2,-1.228728238E-2
4.091096000E0,8.233328164E-2,3.639701754E-2,-1.364580821E-2
4.112860000E0,8.110883087E-2,3.392009810E-2,-1.482890826E-2
4.134643000E0,8.346256614E-2,3.388397396E-2,-1.235123724E-2
4.156382000E0,8.841834217E-2,3.512059152E-2,-1.585675962E-2
4.178162000E0,8.340899646E-2,3.138693050E-2,-1.229541562E-2
4.199922000E0,8.709229529E-2,3.632276133E-2,-1.471506618E-2
4.221680000E0,8.456624299E-2,3.259358183E-2,-1.228981651E-2
4.243450000E0,7.838767022E-2,3.381887823E-2,-1.249035075E-2
4.265198000E0,8.326027542E-2,3.503523394E-2,-1.238145400E-2
4.286957000E0,8.198241889E-2,3.254629672E-2,-1.115474198E-2
4.308716000E0,8.447018266E-2,3.625497594E-2,-1.478527486E-2
4.330475000E0,8.190658689E-2,3.499056399E-2,-1.121132448E-2
4.352242000E0,8.189368993E-2,3.003781103E-2,-1.109840535E-2
4.374023000E0,8.438592404E-2,3.251147270E-2,-1.470069028E-2
4.395782000E0,7.807192951E-2,3.370507807E-2,-8.877054788E-3
4.417541000E0,8.302700520E-2,3.493957222E-2,-1.238309965E-2
4.439300000E0,8.547657728E-2,3.493057191E-2,-1.351933088E-2
4.461049000E0,8.179681003E-2,3.245728463E-2,-1.477082726E-2
4.482819000E0,8.176756650E-2,3.120978922E-2,-1.474243775E-2
4.504587000E0,8.910246193E-2,3.118945844E-2,-1.453668904E-2
4.526337000E0,8.157335222E-2,2.991453931E-2,-8.691131137E-3
4.548112000E0,8.410882205E-2,3.486898169E-2,-1.475998480E-2
4.569855000E0,8.034247905E-2,3.360971063E-2,-1.242567040E-2
4.591614000E0,8.031584322E-2,3.236138821E-2,-1.239773910E-2
4.613373000E0,8.394155651E-2,3.233846650E-2,-1.109019760E-2
4.635132000E0,8.526510745E-2,3.606018052E-2,-1.836971752E-2
4.656920000E0,8.267302066E-2,3.478832915E-2,-1.359107066E-2
4.678680000E0,8.500960469E-2,3.598714992E-2,-9.936694056E-3
4.700439000E0,8.135283738E-2,3.475354612E-2,-1.242181379E-2
4.722198000E0,8.508387953E-2,3.475613892E-2,-1.593328081E-2
4.743957000E0,8.246485144E-2,3.347818926E-2,-9.949706495E-3
4.765698000E0,8.360545337E-2,3.345054761E-2,-7.505954709E-3
4.787476000E0,7.884886861E-2,3.348550946E-2,-1.607745141E-2
4.809236000E0,8.115904033E-2,3.467797488E-2,-1.121829916E-2
4.830994000E0,8.612337708E-2,3.344326094E-2,-1.466757897E-2
4.852758000E0,8.112473041E-2,3.342117742E-2,-1.239556633E-2
4.874512000E0,7.864688337E-2,3.093941323E-2,-1.240822114E-2
4.896271000E0,8.242689073E-2,3.218964860E-2,-1.835760474E-2
4.918030000E0,8.222100139E-2,3.460701928E-2,-1.118545420E-2
4.939807375E0,8.219338208E-2,3.335762769E-2,-1.115770917E-2
4.961567375E0,8.095448464E-2,3.458518907E-2,-1.242573652E-2
4.983326375E0,8.592527360E-2,3.211533651E-2,-1.584695093E-2
5.005085375E0,8.212174475E-2,3.332015127E-2,-1.236404385E-2
5.026843375E0,8.304410428E-2,3.371940181E-2,-8.756611496E-3
5.048605375E0,8.429335803E-2,3.495528549E-2,-1.116009429E-2
5.070361375E0,8.799884468E-2,3.000735305E-2,-1.214922965E-2
5.092121375E0,8.058256656E-2,3.494220972E-2,-1.246839669E-2
5.113883375E0,8.301614225E-2,3.369349614E-2,-1.237167511E-2
5.135639375E0,8.162467927E-2,3.735658154E-2,-7.671889849E-3
5.157392375E0,7.682060450E-2,3.120045178E-2,-1.248771790E-2
5.179183375E0,8.062026650E-2,3.245889768E-2,-1.843691058E-2
5.200916375E0,7.919245958E-2,3.487998247E-2,-1.129896659E-2
5.222705375E0,8.169645816E-2,2.993943542E-2,-1.352723502E-2
5.244441375E0,8.030230552E-2,3.113117814E-2,-7.566328626E-3
5.266223375E0,7.786954194E-2,3.483914956E-2,-1.133465953E-2
5.287982375E0,8.401735127E-2,3.606940061E-2,-1.239600871E-2
5.309741375E0,8.031572402E-2,3.359128907E-2,-1.244265214E-2
5.331500375E0,8.268617094E-2,3.480020911E-2,-9.992715903E-3
5.353259375E0,8.525916934E-2,3.234814480E-2,-1.589189842E-2
5.375011375E0,8.028864861E-2,2.985726669E-2,-1.476872247E-2
5.396778375E0,8.380577713E-2,3.104516678E-2,-8.670149371E-3
5.418538375E0,8.259414136E-2,3.351712599E-2,-1.117089577E-2
5.440296375E0,8.005699515E-2,3.349483013E-2,-8.830174804E-3
5.462055375E0,8.510327339E-2,3.351877630E-2,-1.592137851E-2
5.483814375E0,8.247993886E-2,3.471250460E-2,-9.994330816E-3
5.505583375E0,8.249591291E-2,3.100262024E-2,-1.111472398E-2
